date,nav,cumulative_return,cumulative_return_pct,portfolio_measure,currency
2026-01-01,2065.659382531,-0.00006772,-0.0068,TWR,USD
2026-01-02,2051.9064350604,-0.00672517,-0.6725,TWR,USD
2026-01-05,2074.0198511145,0.00397937,0.3979,TWR,USD
2026-01-06,2045.7172880557,-0.00972117,-0.9721,TWR,USD
2026-01-07,2043.4516125252,-0.01081793,-1.0818,TWR,USD
2026-01-08,2046.0886391167,-0.00954141,-0.9541,TWR,USD
2026-01-09,2074.7014316675,0.0043093,0.4309,TWR,USD
2026-01-12,2083.5385486878004,0.00858712,0.8587,TWR,USD
2026-01-13,2078.3184582589,0.00606021,0.6060,TWR,USD
2026-01-14,2051.5556657080997,-0.00689496,-0.6895,TWR,USD
2026-01-15,2054.107107198,-0.00565988,-0.5660,TWR,USD
2026-01-16,2050.7985486878,-0.00726146,-0.7261,TWR,USD
2026-01-19,2050.7985486878,-0.00726146,-0.7261,TWR,USD
2026-01-20,1992.7227827284,-0.03537444,-3.5374,TWR,USD
2026-01-21,2030.897107198,-0.01689524,-1.6895,TWR,USD
2026-01-22,2074.4585486878,0.00419173,0.4192,TWR,USD
2026-01-23,2077.1285486878,0.00548421,0.5484,TWR,USD
2026-01-26,2053.6856657081003,-0.00586389,-0.5864,TWR,USD
2026-01-27,2054.3127827283997,-0.00556031,-0.5560,TWR,USD
2026-01-28,2059.0070167691,-0.00328796,-0.3288,TWR,USD
2026-01-29,2022.69836783,-0.02086404,-2.0864,TWR,USD
2026-01-30,2037.8081869723,-0.01354976,-1.3550,TWR,USD
2026-02-02,2027.7753944215,-0.01840638,-1.8406,TWR,USD
2026-02-03,2011.9896284621,-0.02604786,-2.6048,TWR,USD
2026-02-04,1962.2510699519999,-0.05012501,-5.0125,TWR,USD
2026-02-05,1930.0067454824,-0.06573365,-6.5734,TWR,USD
2026-02-06,1979.0581869723,-0.04198912,-4.1989,TWR,USD
2026-02-09,2639.3353039925996,-0.03449833,-3.4498,TWR,USD
2026-02-10,2641.0779748854,-0.03386084,-3.3861,TWR,USD
2026-02-11,2641.4465556495998,-0.03372601,-3.3726,TWR,USD
2026-02-12,2590.5722979424,-0.05233645,-5.2336,TWR,USD
2026-02-13,2593.5722979424,-0.05123901,-5.1239,TWR,USD
2026-02-16,2593.5808787067,-0.05123587,-5.1236,TWR,USD
2026-02-17,2574.0008787067,-0.05839848,-5.8398,TWR,USD
