symbol,stock_realized_pnl,option_realized_pnl,commissions,trades,total_realized_pnl,note
USD.HKD,0,0,8,14,0,IBKR realized_pnl as reported; strategy allocation rules documented separately.
TSLA,-148.13509,0,4.000395999999999,4,-148.13509,IBKR realized_pnl as reported; strategy allocation rules documented separately.
QQQM,15.071624999999997,0,3.01209268,4,15.071624999999997,IBKR realized_pnl as reported; strategy allocation rules documented separately.
MSFT,132.890899,0,9.22708991,10,132.890899,IBKR realized_pnl as reported; strategy allocation rules documented separately.
NVDA,195.843496,321.847526,17.28098221,17,517.691022,IBKR realized_pnl as reported; strategy allocation rules documented separately.
BN,-5.044604,0,1.606004,2,-5.044604,IBKR realized_pnl as reported; strategy allocation rules documented separately.
HUBS,-16.940195,0,2.0001949999999997,2,-16.940195,IBKR realized_pnl as reported; strategy allocation rules documented separately.
GOOG,15.142942,-510.94783900000004,13.005657889999998,13,-495.80489700000004,IBKR realized_pnl as reported; strategy allocation rules documented separately.
POET,-531.975234,4.948636,5.14659767,6,-527.026598,IBKR realized_pnl as reported; strategy allocation rules documented separately.
GLW,122.04543,0,2.03456965,2,122.04543,IBKR realized_pnl as reported; strategy allocation rules documented separately.
IBKR,0,0,0.00003741,1,0,IBKR realized_pnl as reported; strategy allocation rules documented separately.
ASX,0,-50.096661,1.096661,2,-50.096661,IBKR realized_pnl as reported; strategy allocation rules documented separately.
