trade_id,trade_time,symbol,company_name,sec_type,currency,side,size,price,commission,net_amount,realized_pnl,order_type,description,exchange,order_id
CUSTHSFX.018a35bb.01.01,2026-01-05T22:00:00Z,USD.HKD,United States dollar,CASH,HKD,BUY,452,7.7855,0,-3519.046,0,OTHER,7.7855 Other,FXCONV,4745853920
00010196.695c2e33.01.01,2026-01-06T00:14:04Z,TSLA,TESLA INC,STK,USD,BUY,1,451,1,451,0,LIMIT,451 Limit,NASDAQ,4745819854
0000d5db.6aff1fba.01.01,2026-01-06T01:10:05Z,USD.HKD,United States dollar,CASH,HKD,BUY,452,7.78542,0,-3519.00984,0,MARKET,7.78542 Market,FXCONV,4745834582
CUSTHSFX.018a35bc.01.01,2026-01-06T01:26:00Z,USD.HKD,United States dollar,CASH,HKD,SELL,452,7.7855,0,3519.046,0,OTHER,7.7855 Other,FXCONV,4745854042
00030e5e.6bbbd504.01.01,2026-02-10T14:36:47Z,QQQM,INVESCO NASDAQ 100 ETF,STK,USD,BUY,1,252.8893,1,252.8893,0,LIMIT,252.89 Limit,DARK,4876407137
0000d5db.6b8abf5c.01.01,2026-02-10T14:36:48Z,USD.HKD,United States dollar,CASH,HKD,BUY,252.88,7.82082,0,-1977.7289616,0,MARKET,7.82082 Market,FXCONV,4876580899
0000d5db.6b8abf46.01.01,2026-02-10T14:36:48Z,USD.HKD,United States dollar,CASH,HKD,BUY,1,7.82115,0,-7.82115,0,MARKET,7.82115 Market,FXCONV,4876582318
0000d5db.6b8c27ea.01.01,2026-02-10T16:19:54Z,USD.HKD,United States dollar,CASH,HKD,BUY,1,7.82134,0,-7.82134,0,MARKET,7.82134 Market,FXCONV,4877931654
0001015d.698b4899.01.01,2026-02-10T16:19:54Z,MSFT,MICROSOFT CORP,STK,USD,BUY,1,421,1,421,0,LIMIT,421 Limit,NASDAQ,4877930991
0000d5db.6b8c27fa.01.01,2026-02-10T16:19:55Z,USD.HKD,United States dollar,CASH,HKD,BUY,421,7.82097,0,-3292.62837,0,MARKET,7.82097 Market,FXCONV,4877931615
CUSTHSFX.01aadee8.01.01,2026-02-10T22:00:00Z,USD.HKD,United States dollar,CASH,HKD,BUY,0.0093,7.82111768,0,-0.07273639,0,OTHER,7.82112 Other,FXCONV,4879945092
00010168.699d813f.01.01,2026-02-24T14:31:54Z,NVDA,NVIDIA CORP,STK,USD,BUY,1,190,1,190,0,LIMIT,190 Limit,NASDAQ,4916337319
0000d5db.6bb66e34.01.01,2026-02-24T14:31:55Z,USD.HKD,United States dollar,CASH,HKD,BUY,190,7.82598,0,-1486.9362,0,MARKET,7.82598 Market,FXCONV,4916570954
0000d5db.6bb66e1a.01.01,2026-02-24T14:31:55Z,USD.HKD,United States dollar,CASH,HKD,BUY,1,7.8263,0,-7.8263,0,MARKET,7.8263 Market,FXCONV,4916573416
00012df0.69b15854.01.01,2026-03-11T15:03:01Z,BN,BROOKFIELD CORP,STK,USD,BUY,2,41,0.82,82,0,LIMIT,41 Limit,NYSE,4971105924
00010168.69b4598a.01.01,2026-03-13T19:55:03Z,NVDA,NVIDIA CORP,STK,USD,BUY,1,180,1,180,0,LIMIT,180 Limit,NASDAQ,4981515798
00030e5e.6c2e0e14.01.01,2026-03-16T16:49:16Z,BN,BROOKFIELD CORP,STK,USD,SELL,2,39.2807,0.786004,78.5614,-5.044604,LIMIT,39.28 Limit,DARK,4984891271
00012e0e.69ba7f9e.01.01,2026-03-18T13:30:01Z,HUBS,HUBSPOT INC,STK,USD,BUY,1,260.8,1,260.8,0,LIMIT,260.8 Limit,NYSE,4990661574
0001015d.69bc23c3.01.01,2026-03-19T14:51:49Z,MSFT,MICROSOFT CORP,STK,USD,SELL,1,390,1.000195,390,-33.000195,LIMIT,390 Limit,NASDAQ,4996505902
00010196.69bc1dcf.01.01,2026-03-19T14:56:16Z,TSLA,TESLA INC,STK,USD,SELL,1,380.5,1.000195,380.5,-88.500195,LIMIT,380.5 Limit,NASDAQ,4996550124
00030e5e.6c3a3464.01.01,2026-03-19T14:56:43Z,QQQM,INVESCO NASDAQ 100 ETF,STK,USD,SELL,2,243.34,1.00039,486.68,-16.02839,LIMIT,243.34 Limit,DARK,4996554448
0000f7ce.69c28ee5.01.01,2026-03-24T14:56:03Z,HUBS,HUBSPOT INC,STK,USD,SELL,1,245.86,1.000195,245.86,-16.940195,LIMIT,245.86 Limit,IBKRATS,5010709936
0001015d.69c2a9b8.01.01,2026-03-24T15:33:03Z,MSFT,MICROSOFT CORP,STK,USD,BUY,1,373.5,1,373.5,0,LIMIT,373.5 Limit,NASDAQ,5011052861
0001015d.69c3e0f2.01.01,2026-03-25T14:10:34Z,MSFT,MICROSOFT CORP,STK,USD,BUY,1,373,1,373,0,LIMIT,373 Limit,NASDAQ,5014332416
00030f00.69c42b1e.01.01,2026-03-25T14:58:25Z,TSLA,TESLA INC,STK,USD,SELL,1,393.3653,1.000195,393.3653,-59.634895,LIMIT,393.37 Limit,DARK,5014867078
00010168.69c418a6.01.01,2026-03-25T16:50:55Z,NVDA,NVIDIA CORP,STK,USD,BUY,2,179,1,358,0,LIMIT,179 Limit,NASDAQ,5015754355
00010168.69c51de9.01.01,2026-03-26T14:13:35Z,NVDA,NVIDIA CORP,STK,USD,BUY,1,175,1,175,0,LIMIT,175 Limit,NASDAQ,5018354273
00010168.69d67db5.01.01,2026-04-08T15:18:09Z,NVDA,NVIDIA CORP,STK,USD,BUY,1,181,1,181,0,LIMIT,181 Limit,NASDAQ,5056448099
00010129.69d90d63.01.01,2026-04-10T15:40:56Z,GOOG,ALPHABET INC-CL C,STK,USD,BUY,1,316,1,316,0,LIMIT,316 Limit,NASDAQ,5065733487
0001015d.69dd16a8.01.01,2026-04-13T16:44:45Z,MSFT,MICROSOFT CORP,STK,USD,SELL,2,380.51,1.01606701,761.02,11.503932,LIMIT,380.51 Limit,NASDAQ,5070624699
00010168.69df736e.01.01,2026-04-15T13:43:01Z,NVDA,NVIDIA CORP,STK,USD,BUY,4,197.5,1,790,0,LIMIT,197.5 Limit,NASDAQ,5078178457
00010168.69df7f3e.01.01,2026-04-15T13:56:02Z,NVDA,NVIDIA CORP,STK,USD,BUY,2,197.84,1,395.68,0,LIMIT,197.84 Limit,NASDAQ,5078516102
00030f00.69e88111.01.01,2026-04-22T08:55:20Z,POET,POET TECHNOLOGIES INC,STK,USD,BUY,100,12.23,1,1223,0,LIMIT,12.23 Limit,DARK,5102203670
00022478.69e7fad2.01.01,2026-04-22T08:56:11Z,USD.HKD,United States dollar,CASH,HKD,BUY,935.94,7.8323,2,-7330.562862,0,MARKET,7.8323 Market,FXCONV,5102203806
0000e95f.69e88f0a.01.01,2026-04-22T09:23:36Z,GOOG,ALPHABET INC-CL C,STK,USD,SELL,1,333.15,1.00705789,333.15,15.142942,LIMIT,333.15 Limit,DARK,5102222544
00030f00.69e88393.01.01,2026-04-22T09:24:25Z,QQQM,INVESCO NASDAQ 100 ETF,STK,USD,SELL,2,267.42,1.0114077,534.84,31.100015,LIMIT,267.42 Limit,DARK,5102222620
0002920b.69f0a6a5.01.01,2026-04-28T13:41:03Z,POET,,OPT,USD,SELL,1,0.06,1.0513636,6,0,LIMIT,0.06 Limit,PHLX,5122211475
CRS:9423469779,2026-05-01T20:20:00Z,POET,,OPT,USD,BUY,1,0,0,0,4.948636,OTHER,0 Other,,39637991252
00018d31.69fb4ed3.01.01,2026-05-06T17:07:25Z,GLW,CORNING INC,STK,USD,BUY,8,184.5,1.000024,1476,0,MARKET,184.5 Market,IBKRATS,5154749024
0001015d.6a031bec.01.01,2026-05-12T13:35:56Z,MSFT,MICROSOFT CORP,STK,USD,BUY,20,409,1.00006,8180,0,LIMIT,409 Limit,NASDAQ,5175801035
00017596.6a01062b.01.01,2026-05-12T13:51:24Z,USD.HKD,United States dollar,CASH,HKD,BUY,8128.54,7.82822,2,-63631.9993988,0,MARKET,7.82822 Market,FXCONV,5176367101
00022478.6a039867.01.01,2026-05-12T23:39:49Z,USD.HKD,United States dollar,CASH,HKD,BUY,1717,7.82837,2,-13441.31129,0,MARKET,7.82837 Market,FXCONV,5180662814
00022478.6a039871.01.01,2026-05-12T23:41:21Z,USD.HKD,United States dollar,CASH,HKD,BUY,2,7.82921,2,-15.65842,0,MARKET,7.82921 Market,FXCONV,5180663221
00030e5e.6cfd076c.01.01,2026-05-13T13:39:49Z,POET,POET TECHNOLOGIES INC,STK,USD,SELL,100,13.5712,1.04775667,1357.12,132.072243,MARKET,13.5712 Market,DARK,5181913775
00012e0e.6a045ab2.01.01,2026-05-13T13:40:48Z,GLW,CORNING INC,STK,USD,SELL,8,200.01,1.03454565,1600.08,122.04543,LIMIT,200.01 Limit,NYSE,5181952273
00030e5e.6d013fa4.01.01,2026-05-13T17:42:22Z,MSFT,MICROSOFT CORP,STK,USD,BUY,2,403.91,1.000006,807.82,0,MARKET,403.91 Market,DARK,5184947617
00010168.6a05cd0c.01.01,2026-05-14T13:37:52Z,POET,POET TECHNOLOGIES INC,STK,USD,BUY,100,19.91,1.0003,1991,0,LIMIT,19.91 Limit,NASDAQ,5187230796
00010279.6a16964b.01.01,2026-05-27T08:07:53Z,POET,POET TECHNOLOGIES INC,STK,USD,SELL,100,13.29,1.0471774,1329,-664.047477,LIMIT,13.29 Limit,ARCA,5230187737
0000d9d8.6a16e7cb.01.01,2026-05-27T14:53:55Z,TSLA,TESLA INC,STK,USD,BUY,2,443.995,1.000006,887.99,0,LIMIT,444 Limit,IBKRATS,5232881520
00010168.6a19e9e9.01.01,2026-05-29T14:39:53Z,NVDA,NVIDIA CORP,STK,USD,BUY,5,215,1.000015,1075,0,LIMIT,215 Limit,NASDAQ,5243942360
