record_id,ticker,pe_low,pe_high,pe_median,eps_2026_ngap,fair_price_2026_low,fair_price_2026_high,median_price_2026,eps_2027_ngap,fair_price_2027_low,fair_price_2027_high,median_price_2027,market_price,source_image,notes,created_at
GS-20260727-upload,GS,6.4,13.6,10,68.83,440.512,936.088,688.30,72.10,461.44,980.56,721.00,1061,02-image,summary row,2026-07-27
C-20260727-upload,C,8.2,15.1,11.65,11.20,91.84,169.12,130.48,12.92,105.944,195.092,150.52,132,02-image,summary row,2026-07-27
USB-20260727-upload,USB,11.4,16.9,14.15,5.22,59.508,88.218,73.86,5.76,65.664,97.344,81.50,63.9,02-image,summary row,2026-07-27
PNC-20260727-upload,PNC,10.8,19.1,14.95,19.25,207.9,367.675,287.79,21.30,230.04,406.83,318.44,250,03-image,summary row,2026-07-27
TRV-20260727-upload,TRV,12.7,20.5,16.6,32.49,412.623,666.045,539.334,29.60,375.92,606.8,491.36,387,03-image,summary row,2026-07-27
UNH-20260727-upload,UNH,15.3,24.6,19.95,19.48,298.044,479.208,388.626,22.17,339.201,545.382,442.29,420,03-image,summary row,2026-07-27
NFLX-20260727-upload,NFLX,20,30,25,3.59,71.8,107.7,89.75,3.85,77,115.5,96.25,70,03/04-image,post split row,2026-07-27
ASML-20260727-upload,ASML,21.5,45.7,33.6,43.60,937.4,1992.52,1464.96,57.42,1234.53,2624.094,1929.31,1757,04-image,summary row,2026-07-27
TSM-20260727-upload,TSM,15.5,28.6,22.05,16.34,253.27,467.324,360.297,20.75,321.625,593.45,457.54,403,04-image,summary row,2026-07-27
ISRG-20260727-upload,ISRG,25,35,30,10.74,268.5,375.9,322.20,11.95,298.75,418.25,358.50,337,04-image,summary row uses updated PE,2026-07-27
GE-20260727-upload,GE,25,35,30,7.45,186.25,260.75,223.50,8.61,215.25,301.35,258.30,,04-image,summary row,2026-07-27
JNJ-20260727-upload,JNJ,14.6,19.9,17.25,11.65,170.09,231.835,200.96,12.80,186.88,254.72,220.80,263,05-image,summary row,2026-07-27
ABT-20260727-upload,ABT,22,29.1,25.55,5.52,121.44,160.632,141.036,6.08,133.76,176.928,155.34,103,05-image,summary row,2026-07-27
UAL-20260727-upload,UAL,7.1,12.2,9.65,10.56,74.976,128.832,101.904,16.08,114.168,196.176,155.17,118,05-image,summary row,2026-07-27
GOOG-20260727-upload,GOOG,20,30,25,14.34,286.8,430.2,358.50,14.88,297.6,446.4,372.00,319,06-image,summary row,2026-07-27
TSLA-20260727-upload,TSLA,40,60,50,1.98,79.2,118.8,99.00,2.64,105.6,158.4,132.00,313,06-image,summary row,2026-07-27
INTC-20260727-upload,INTC,30,40,35,1.07,32.1,42.8,37.45,1.50,45,60,52.50,92,06-image,summary row,2026-07-27
NOW-20260727-upload,NOW,20,30,25,4.14,82.8,124.2,103.50,5.00,100,150,125.00,98.7,06/07-image,summary row,2026-07-27
TXN-20260727-upload,TXN,17.2,26.6,21.9,8.17,140.524,217.322,178.92,9.41,161.852,250.306,206.08,279,07-image,summary row,2026-07-27
IBM-20260727-upload,IBM,15,25,20,12.34,185.1,308.5,246.80,13.20,198,330,264.00,214,07-image,summary row,2026-07-27
SAP-20260727-upload,SAP,16.5,26.1,21.3,8.26,136.29,215.586,175.938,9.67,159.555,252.387,205.97,160,07/08-image,summary row,2026-07-27
AXP-20260727-upload,AXP,20,30,25,17.35,347,520.5,433.75,20.23,404.6,606.9,505.75,326,08-image,summary row,2026-07-27
IBKR-20260727-upload,IBKR,20,30,25,2.64,52.8,79.2,66.00,3.08,61.6,92.4,77.00,91.7,08-image,summary row,2026-07-27
SCHW-20260727-upload,SCHW,13,35.1,24.05,6.43,83.59,225.693,154.64,7.76,100.88,272.376,186.63,101,08-image,summary row,2026-07-27
BX-20260727-upload,BX,9.4,35.5,22.45,5.87,55.178,208.385,131.7815,7.57,71.158,268.735,169.95,130,09-image,summary row,2026-07-27
GEV-20260727-upload,GEV,30,40,35,30.74,922.2,1229.6,1075.90,24.06,721.8,962.4,842.10,1014,09-image,summary row,2026-07-27
MMM-20260727-upload,MMM,10,20,15,8.82,88.2,176.4,132.30,9.52,95.2,190.4,142.80,172,09-image,summary row,2026-07-27
MU-20260727-upload,MU,6.1,14.4,10.25,73.85,450.485,1063.44,756.96,157.83,962.763,2272.752,1617.76,920,10-image,summary row,2026-07-27
AVGO-20260727-upload,AVGO,30,40,35,11.74,352.2,469.6,410.90,19.09,572.7,763.6,668.15,381,10-image,summary row,2026-07-27
MRVL-20260727-upload,MRVL,30,40,35,4.14,124.2,165.6,144.90,6.18,185.4,247.2,216.30,194,10-image,summary row,2026-07-27
ADBE-20260727-upload,ADBE,20,30,25,24.31,486.2,729.3,607.75,27.40,548,822,685.00,225,10/11-image,summary row,2026-07-27
ORCL-20260727-upload,ORCL,20,30,25,8.03,160.6,240.9,200.75,10.69,213.8,320.7,267.25,114,11-image,summary row,2026-07-27
CRWD-20260727-upload,CRWD,30,50,40,1.23,36.9,61.5,49.20,1.57,47.1,78.5,62.80,183,11-image,post split row,2026-07-27
OKTA-20260727-upload,OKTA,20,30,25,3.83,76.6,114.9,95.75,4.29,85.8,128.7,107.25,138,11/12-image,summary row,2026-07-27
CRM-20260727-upload,CRM,20,30,25,14.12,282.4,423.6,353.00,15.49,309.8,464.7,387.25,163,12-image,summary row,2026-07-27
SNPS-20260727-upload,SNPS,20,30,25,14.75,295,442.5,368.75,17.20,344,516,430.00,373,12-image,summary row,2026-07-27
ADSK-20260727-upload,ADSK,25,35,30,12.58,314.5,440.3,377.40,14.05,351.25,491.75,421.50,209,12-image,summary row,2026-07-27
PANW-20260727-upload,PANW,30,40,35,3.77,113.1,150.8,131.95,4.08,122.4,163.2,142.80,323,13-image,post split row,2026-07-27
DELL-20260727-upload,DELL,15,25,20,18.8,282,470,376.00,22.76,341.4,569,455.20,437,13-image,summary row,2026-07-27
DAL-20260727-upload,DAL,7,12.1,9.55,6.54,45.78,79.134,62.457,8.74,61.18,105.754,83.47,85,13-image,summary row,2026-07-27
CCL-20260727-upload,CCL,9.1,18.3,13.7,2.21,20.111,40.443,30.28,2.59,23.569,47.397,35.48,26.3,13/14-image,summary row,2026-07-27
M-20260727-upload,M,4.1,9.2,6.65,2.19,8.979,20.148,14.56,2.33,9.553,21.436,15.49,23.3,14-image,summary row,2026-07-27
ACN-20260727-upload,ACN,19.8,28.3,24.05,13.85,274.23,391.955,333.09,14.67,290.466,415.161,352.81,146,14-image,summary row,2026-07-27
LEN-20260727-upload,LEN,6.4,18.6,12.5,5.46,34.944,101.556,68.25,6.66,42.624,123.876,83.25,84.6,14-image,summary row,2026-07-27
DG-20260727-upload,DG,17.7,26,21.85,7.37,130.449,191.62,161.03,8.02,141.954,208.52,175.24,117,15-image,summary row,2026-07-27
LULU-20260727-upload,LULU,20,30,25,10.94,218.8,328.2,273.50,11.54,230.8,346.2,288.50,114,15-image,summary row,2026-07-27
NKE-20260727-upload,NKE,28.5,35.8,32.15,1.74,49.59,62.292,55.94,2.35,66.975,84.13,75.55,41.7,15-image,summary row,2026-07-27
COST-20260727-upload,COST,27.4,37.4,32.4,20.43,559.508,763.708,661.61,22.50,616.5,841.5,729.00,935,15-image,summary row,2026-07-27
